メーカー,系列/テーマ,次回調査
三菱電機,MELPRO-D(D0) / MULTICAP,COC/CFP/CDG/CBV/CUB/CUV/COV/CMP/CPP/CAC/CGPの完全形式・末尾を個別抽出
三菱電機,Eシリーズ,MOC-E1等の完全末尾形式、取説No.、生産終了年月を抽出
富士電機,新旧形式変遷一覧,"会員資料「静止形, 誘導形保護継電器の新旧形式変遷一覧」を精査"
富士電機,DUT / DRAW / TELR / DUS / DUY,形式パターンから実在する完全形式を公式資料で個別確認
オムロン,旧K2系列,K2FU/K2FA/K2FW旧世代、K2WR各末尾の受注終了状態を個別照合
光商工,LDG多回路旧系列,LDG-71K等の全派生、LDG-81のDC/派生形式、旧ZVT/ZCT系譜を展開
日新電機,C/D/E/I/M/S/Y/N/NV/NS各旧系列,生産終了資料1-24ページ群を型式ごとに抽出
日新電機,D1U複合形,D1U-2F/3F等の全旧形式・内部要素・代替をテーブル化
東芝産業機器システム,旧I/B/J/C形,N/Vカタログの代替対象形式を保護要素別に抽出し旧→新系譜化
東芝産業機器システム,Nシリーズ完全注文形式,-02A51等の仕様末尾を、実在形式リスト/取説と照合して展開
明電舎,MEDIMUL / IPMATII / MRR,公式カタログPDFから個別型式番号を抽出
