メーカー,型式,前身,後継/代替,状態,根拠
オムロン,K2CA-DO-D2,,K2OC,discontinued,K2CA-D 形式/種類
オムロン,K2CA-DO-F4,,K2OC,discontinued,K2CA-D 形式/種類
オムロン,K2CA-DO-R2,,K2OC,discontinued,K2CA-D 形式/種類
オムロン,K2CA-DO3-D2,,K2OC,discontinued,K2CA-D 形式/種類
オムロン,K2CA-DO3-F4,,K2OC,discontinued,K2CA-D 形式/種類
オムロン,K2CA-DO3-R2,,K2OC,discontinued,K2CA-D 形式/種類
三菱電機,MDG-A1V-R,,MDG-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MDG-A1V-RD,,MDG-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MDG-A2V-R,,MDG-A4,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MDG-A2V-RD,,MDG-A4,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MGR-A1T-R,,MGR-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MGR-A1V-F,,MGR-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MGR-A1V-R,,MGR-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MGR-A1V-RD,,MGR-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MGR-A1VB-F,,MGR-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOC-A1T-R,,MOC-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOC-A1T-RD,,MOC-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOC-A1V-R,,MOC-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOC-A1V-RD,,MOC-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOV-A1V-R,,MOV-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MOV-A1V-RD,,MOV-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MUV-A1V-R,,MUV-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MUV-A1V-RD,,MUV-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MVG-A1V-R,,MVG-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MVG-A1V-RD,,MVG-A3,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MVG-A2V-R,,MVG-A4,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MVG-A2V-RD,,MVG-A4,discontinued,MELPRO-A(A1)公式マニュアル検索 / リニューアルのすすめ
三菱電機,MDG-E1,,MDG-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MDG-E2,,MDG-A4,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MGR-E1,,MGR-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MOC-E1,,MOC-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MOV-E1,,MOV-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MUV-E1,,MUV-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MVG-E1,,MVG-A3,legacy,三菱電機FA リニューアルのすすめ
三菱電機,MVG-E2,,MVG-A4,legacy,三菱電機FA リニューアルのすすめ
富士電機,QH-DG3,,QHA-DG3,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-DG4,,QHA-DG4,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-GR3A,,QHA-GR3,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-OC1,,QHA-OC1,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-OC2,,QHA-OC2,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-OV1,,QHA-OV1,discontinued,富士電機FAQ 旧型QH更新
富士電機,QH-UV1,,QHA-UV1,discontinued,富士電機FAQ 旧型QH更新
光商工,LDG-11,,LDG-21B,discontinued,光商工 LDG-11シリーズ 新旧比較表・組合せ機器一覧
光商工,LDG-11D,,LDG-21B,discontinued,光商工 LDG-11シリーズ 新旧比較表・組合せ機器一覧
光商工,LDG-11DN,,LDG-21BN,discontinued,光商工 LDG-11シリーズ 新旧比較表・組合せ機器一覧
光商工,LDG-13,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-13D,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-13DN,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-21,,LDG-71 / LDG-71K / LDG-81,discontinued,光商工 公式製品ページ
光商工,LDG-21K,,LDG-71 / LDG-71K / LDG-81,discontinued,光商工 公式製品ページ
光商工,LDG-21N,,LDG-71 / LDG-71K / LDG-81,discontinued,光商工 公式製品ページ
光商工,LDG-23-DC1,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-23A,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-23AN,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-23K,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-23N,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LDG-23N-DC1,,LDG-73 / LDG-73K / LDG-83,discontinued,光商工 公式製品ページ
光商工,LEG-101,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-101A～C,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-102,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-142,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-172,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-172-DC,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-172N,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-172N-DC,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-22,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-32,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LEG-42,,LEG-192,discontinued,光商工 公式製品ページ
光商工,LOC-13,,LOC-23,discontinued,光商工 過電流継電器 公式製品ページ
光商工,LOC-14,,LOC-24,discontinued,光商工 過電流継電器 公式製品ページ
光商工,LOV-1A,,LOV-2A,discontinued,光商工 公式製品ページ
光商工,LUV-1A,,LUV-2A,discontinued,光商工 公式製品ページ
光商工,LVG-3,,LVG-7 / LVG-8 系,discontinued,光商工 公式製品ページ
光商工,LVG-3C,,LVG-7 / LVG-8 系,discontinued,光商工 公式製品ページ
光商工,LVG-3C-DC1,,LVG-7 / LVG-8 系,discontinued,光商工 公式製品ページ
光商工,LVG-3CP,,LVG-7 / LVG-8 系,discontinued,光商工 公式製品ページ
光商工,LVG-3CP-DC1,,LVG-7 / LVG-8 系,discontinued,光商工 公式製品ページ
日新電機,D1UGR-11,,D1UGR-17,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UGR-22S1,,D1UGR-25S1,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UGR-31,,D1UGR-35,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UGR-41,,D1UGR-45,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UUR-11□,,D1UUR-16□,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UUR-21□,,D1UUR-16□,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UUR-31,,D1UUR-35,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UUR-41□,,D1UUR-45□,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,D1UVR-11□,,D1UVR-15,discontinued,日新電機 D1U形 生産終了品一覧
日新電機,DU-1F10□,,D1UOR-15□,discontinued,日新電機 DU形 生産終了品一覧
日新電機,DU-1F30A,,D1UOR-46A,discontinued,日新電機 DU形 生産終了品一覧
日新電機,DU-1F50□,,D1UOR-25□,discontinued,日新電機 DU形 生産終了品一覧
日新電機,DU-1F60,,D1UOR-36,discontinued,日新電機 DU形 生産終了品一覧
