maker,scope,status,source,note
エナジーサポート,型式DB,登録済,メーカー公式一次資料,
エネゲート,型式DB,登録済,メーカー公式一次資料,
オムロン,型式DB,登録済,メーカー公式一次資料,
テンパール工業,型式DB,登録済,メーカー公式一次資料,
トーエネック,型式DB,登録済,メーカー公式一次資料,
ミドリ安全,型式DB,登録済,メーカー公式一次資料,
三英社製作所,型式DB,登録済,メーカー公式一次資料,
三菱電機,型式DB,登録済,メーカー公式一次資料,
不二電機工業,型式DB,登録済,メーカー公式一次資料,
光商工,型式DB,登録済,メーカー公式一次資料,
大垣電機,型式DB,登録済,メーカー公式一次資料,
富士電機,型式DB,登録済,メーカー公式一次資料,
寺崎電気産業,型式DB,登録済,メーカー公式一次資料,
戸上電機製作所,型式DB,登録済,メーカー公式一次資料,
日新電機,型式DB,登録済,メーカー公式一次資料,
日本高圧電気,型式DB,登録済,メーカー公式一次資料,
日立アイイーシステム,型式DB,登録済,メーカー公式一次資料,
日立産機システム,型式DB,登録済,メーカー公式一次資料,
明電舎,型式DB,登録済,メーカー公式一次資料,
東芝産業機器システム,型式DB,登録済,メーカー公式一次資料,
正興電機製作所,型式DB,登録済,メーカー公式一次資料,
泰和電気工業,型式DB,登録済,メーカー公式一次資料,
第一エレクトロニクス,型式DB,登録済,メーカー公式一次資料,
美和電気,型式DB,登録済,メーカー公式一次資料,
長谷川電機工業,型式DB,登録済,メーカー公式一次資料,
旭東電気,漏電保護リレー,型式調査中,https://www.kyokuto-elec.co.jp/business/obm.html,メーカー公式で漏電保護リレー製品群を確認。公開ページに個別型式が出ていないため推測登録しない。
東光高岳,受配電・保護制御,型式調査中,https://www.tktk.co.jp/,盤組込・統合保護制御系を別途調査。
ダイヘン,高圧開閉器・受配電,型式調査中,https://www.daihen.co.jp/,JECAMEC開閉器メーカー。保護継電器単体/制御装置の公開型式を追加調査。
ABB,海外保護リレー,次期調査,https://global.abb/,国内設備採用例もあり得るため海外編候補。
Schneider Electric,海外保護リレー,次期調査,https://www.se.com/jp/,国内設備採用例もあり得るため海外編候補。
Siemens,海外保護リレー,次期調査,https://www.siemens.com/,SIPROTEC等は別枠で調査予定。
SEL,海外保護リレー,次期調査,https://selinc.com/,特高・産業設備向けの海外編候補。
GE Vernova,海外保護リレー,次期調査,https://www.gevernova.com/,特高・発電設備向けの海外編候補。
